AWARD	PERSON	DATE	GENDER	DESCRIPTION
A. I. Virtanen Award	Ari Helenius	1995-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Esko Nurmi	1987-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Esko Nurmi	1987-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Esko Nurmi	1987-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Johanna Ivaska	2017-01-01T00:00:00Z	female	$null$
A. I. Virtanen Award	Johanna Ivaska	2017-01-01T00:00:00Z	female	$null$
A. I. Virtanen Award	Leevi Kääriäinen	1985-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Leevi Kääriäinen	1985-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Markku Leskela	2011-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Markku Leskela	2011-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Markku Leskela	2011-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Pekka Pyykkö	1997-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Pekka Pyykkö	1997-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Pekka Pyykkö	1997-01-01T00:00:00Z	male	$null$
A. I. Virtanen Award	Pirjo Mäkelä	1991-01-01T00:00:00Z	female	$null$
A.G. Huntsman Award for Excellence in the Marine Sciences	Christopher Garrett	1982-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Jeffrey A. Hutchings	2017-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	John Tuzo Wilson	1981-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Lynne Talley	2003-01-01T00:00:00Z	female	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Paul Falkowski	1998-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Reuben Lasker	1983-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Tom Fenchel	1986-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Wallace Smith Broecker	1985-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Wolfgang H. Berger	1984-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.N. Krylov Prize	Sergei Godunov	1972-01-01T00:00:00Z	male	award in computational mathematics by the Russian Academy of Sciences
A.N. Krylov Prize	Sergei Godunov	1972-01-01T00:00:00Z	male	award in computational mathematics by the Russian Academy of Sciences
A.N. Krylov Prize	Valery Svetlitsky	2010-01-01T00:00:00Z	male	award in computational mathematics by the Russian Academy of Sciences
