AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
A. I. Virtanen Award	$null$	2.0	5.0	0.0	0.0	0.2265624999999998	1985-01-01T00:00:00Z	2017-01-01T00:00:00Z	Ari Helenius; Esko Nurmi; Johanna Ivaska; Leevi Kääriäinen; Markku Leskela; Pekka Pyykkö; Pirjo Mäkelä
A.G. Huntsman Award for Excellence in the Marine Sciences	medal awarded by the Royal Society of Canada	1.0	8.0	0.0	0.0	0.01953125	1981-01-01T00:00:00Z	2017-01-01T00:00:00Z	Christopher Garrett; Jeffrey A. Hutchings; John Tuzo Wilson; Lynne Talley; Paul Falkowski; Reuben Lasker; Tom Fenchel; Wallace Smith Broecker; Wolfgang H. Berger
A.N. Krylov Prize	award in computational mathematics by the Russian Academy of Sciences	0.0	2.0	0.0	0.0	0.25	1972-01-01T00:00:00Z	2010-01-01T00:00:00Z	Sergei Godunov; Valery Svetlitsky
A.O. Kovalevsky Medal	$null$	0.0	2.0	0.0	0.0	0.25	2003-01-01T00:00:00Z	2013-01-01T00:00:00Z	Denis Duboule; Walter J. Gehring
AA Shakhmatov Prize	Russian prize	2.0	0.0	0.0	0.0	1.0	2003-01-01T00:00:00Z	2012-01-01T00:00:00Z	Anna Pichkhadze; Nadezhda Onipenko
AAAI Fellow	Award	7.0	19.0	0.0	0.0	0.014479637145996085	1990-01-01T00:00:00Z	2020-01-01T00:00:00Z	Charles Lee Isbell, Jr.; Cynthia Breazeal; Dragomir R. Radev; Eric Grimson; Fernando Pereira; Henry Kautz; Karen Spärck Jones; Kevin Leyton-Brown; Marie desJardins; Martha Palmer; Michael L. Littman; Natalya Noy; Padhraic Smyth; Pedro Domingos; Richard E. Korf; Russell Greiner; Saul Amarel; Sylvie Thiebaux; Thomas Binford; Thomas G. Dietterich; Thomas Schiex; Wendy G. Lehnert; William T. Freeman; Wolfgang Bibel; Yann LeCun; Yoshua Bengio
AAAS Award for Science Diplomacy	American science award	1.0	1.0	0.0	0.0	0.75	1998-01-01T00:00:00Z	2008-01-01T00:00:00Z	Julia Marton-Lefèvre; Thomas R. Pickering
AAAS Fellow	award and fellowship	119.0	59.0	0.0	0.0	0.9999980502970942	1936-01-01T00:00:00Z	2020-01-01T00:00:00Z	Achille Messac; Adriana Moreo; Alan Balch; Alejandro Aballay; Alice Agogino; Alice Y. Cheung; Allan Acosta; Alyson G Wilson; Amanda Bryant-Friedrich; Amos Arthur Heller; Amy Cohen-Corwin; Amy K. Wolfe; Andrea Wiley; Angela K. Wilson; Ann Richmond; Anne Kernan; Annette Summers Engel; Barbara J. Graves; Barbara Zilinskas; Ben Ware; Beryl Lieff Benderly; Bianca Bernstein; Bridget Wilson; Cammy Abernathy; Cardy Raper; Carla Caceres; Carol Mason; Carol Wicks; Cassandra Fraser; Catherine G. Constable; Catherine Pringle; Cathie Martin; Cathy L. Whitlock; Cheryl A Kerfeld; Cheryl J. Briggs; Chris Impey; Christine Maziar; Cora Randall; Corrie Moreau; Craig E. Cameron; Cristina Amon; Daniel J. Kleitman; Daniel L. Stein; Daniela Bortoletto; David B. Goldstein; David Eppstein; David Gadsby; David N. Seidman; David Walba; Diana E Wheeler; Dianna Padilla; Dominique M. Bachelet; Donna M Fekete; Dorothy Zolandz; Douglas R. Cavener; Dragomir R. Radev; Edward J. Malecki; Elaine Wethington; Elly Nedivi; 
ACM Distinguished Member	recognizes those ACM members with at least 15 years of professional experience and 5 years of continuous Professional Membership who have achieved significant accomplishments or have made a significant impact on the computing field	18.0	47.0	0.0	0.0	0.0002110651617376026	2006-01-01T00:00:00Z	2019-01-01T00:00:00Z	Aaron Marcus; Abdulmotaleb El Saddik; Ahmed K. Elmagarmid; Albert Zomaya; Anand Sivasubramaniam; András Kornai; Anna Lubiw; Barbara Boucher Owens; Benjamin B. Bederson; Carla Ellis; Cheng Xiang Zhai; Chih-Jen Lin; Christian Cachin; Cynthia A. Phillips; David A. Thomas; David Ungar; Donald Firesmith; Dragomir R. Radev; Ed H. Chi; Elizabeth Belding; Fei-Yue Wang; Gabriele Kotsis; Gail Chapman; Gonzalo Navarro; Ihab Ilyas; James Joshi; Jennifer A. Golbeck; Joaquim A. Jorge; Jock D. Mackinlay; John Impagliazzo; John Stasko; Katherine Isbister; Kathryn S. McKinley; Kevin Leyton-Brown; Kimberly Keeton; Krste Asanović; Larry Constantine; Lawrence Rauchwerger; Maria L. Gini; Mary Beth Rosson; Matthew Flatt; Mauro Pezze; Mehran Sahami; Michael Kölling; Michael T. Goodrich; Michael Waidner; Mordechai Ben-Ari; Murthy Devarakonda; Naehyuck Chang; Nenad Medvidović; Nikil Dutt; Otfried Cheong; Patrick Baudisch; Pierangela Samarati; R. Iris Bahar; Ragunathan Rajkumar; Ricardo Bianchini; Shiuhpyng Shi
ACM Prize in Computing	$null$	2.0	12.0	0.0	0.0	0.006469726562499999	2007-01-01T00:00:00Z	2019-01-01T00:00:00Z	Alexei A. Efros; Dan Boneh; Daphne Koller; David M. Blei; David Silver; Dina Katabi; Eric Brewer; Frans Kaashoek; Jeff Dean; Jon Michael Kleinberg; Sanjay Ghemawat; Sanjeev Arora; Shwetak Patel; Stefan Savage
